,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,nursery,higher_por,internet,romantic_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,higher_mat,romantic_mat,famrel_mat,freetime_mat,goout_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat
10,GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,2.0,14.0,14.0,14.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0
11,GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,0.0,10.0,12.0,13.0,father,3.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
12,GP,M,15,U,LE3,T,4,4,health,services,course,father,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,0.0,12.0,13.0,12.0,father,1.0,1.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0
13,GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,0.0,12.0,12.0,13.0,mother,2.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0
14,GP,M,15,U,GT3,A,2,2,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,14.0,15.0,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16.0
15,GP,F,16,U,GT3,T,4,4,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,6.0,17.0,17.0,17.0,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0
16,GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,10.0,13.0,13.0,14.0,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14.0
17,GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,2.0,13.0,14.0,14.0,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0
18,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,2.0,8.0,8.0,7.0,mother,1.0,1.0,3.0,no,yes,no,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5.0
19,GP,M,16,U,LE3,T,4,3,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,6.0,12.0,12.0,12.0,father,1.0,1.0,0.0,no,no,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10.0
20,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,12.0,13.0,14.0,mother,1.0,2.0,0.0,no,no,no,no,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15.0
21,GP,M,15,U,GT3,T,4,4,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,11.0,12.0,12.0,father,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15.0
22,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,0.0,12.0,13.0,14.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0
23,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,2.0,10.0,10.0,10.0,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0
24,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,11.0,10.0,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0
25,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,6.0,10.0,11.0,12.0,mother,1.0,1.0,2.0,no,yes,yes,no,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0
26,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,8.0,11.0,12.0,12.0,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0
27,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,0.0,11.0,11.0,11.0,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15.0
28,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,2.0,12.0,12.0,13.0,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0
29,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,4.0,12.0,11.0,12.0,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11.0
30,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,10.0,11.0,11.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12.0
31,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,2.0,15.0,15.0,15.0,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0
32,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,13.0,14.0,15.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16.0
33,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,13.0,12.0,12.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0
34,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,4.0,12.0,12.0,12.0,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15.0
35,GP,F,15,U,GT3,T,2,3,other,other,other,father,2.0,1.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0,father,2.0,1.0,0.0,no,yes,no,yes,yes,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,8.0,7.0,6.0
36,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,0.0,14.0,14.0,14.0,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,15.0,16.0,18.0
37,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,4.0,13.0,13.0,13.0,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15.0,16.0,15.0
38,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11.0,12.0,12.0,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0
39,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,12.0,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0
40,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2.0,2.0,0.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,16.0,11.0,11.0,10.0,mother,2.0,2.0,1.0,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,7.0,10.0,11.0
41,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,10.0,11.0,11.0,other,1.0,1.0,0.0,no,yes,no,no,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12.0,12.0,12.0
42,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18.0
43,GP,M,15,U,GT3,T,2,2,services,services,course,father,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,9.0,10.0,10.0,father,1.0,1.0,0.0,yes,yes,no,no,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,11.0
44,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,11.0,11.0,father,2.0,2.0,1.0,yes,no,no,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10.0,10.0,9.0
45,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,4.0,10.0,11.0,11.0,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,8.0,8.0,6.0
46,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,6.0,13.0,12.0,13.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11.0
47,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,2.0,17.0,17.0,17.0,mother,1.0,4.0,0.0,no,no,no,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19.0,19.0,20.0
48,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,4.0,11.0,12.0,13.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15.0,15.0,14.0
49,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1.0,2.0,0.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,13.0,12.0,12.0,father,1.0,2.0,1.0,yes,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,7.0,7.0,7.0
50,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,0.0,14.0,13.0,13.0,mother,3.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,12.0,13.0,13.0
51,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0.0,16.0,14.0,16.0,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,11.0,13.0,13.0
52,GP,M,15,U,LE3,A,4,2,health,health,other,father,2.0,1.0,0.0,no,no,no,no,yes,yes,no,no,5.0,5.0,5.0,3.0,4.0,5.0,4.0,10.0,9.0,9.0,father,2.0,1.0,1.0,no,no,no,no,yes,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11.0,11.0,10.0
53,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,13.0,12.0,12.0,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,8.0,10.0,11.0
54,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,0.0,13.0,12.0,13.0,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,10.0,13.0,13.0
55,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,2.0,12.0,13.0,12.0,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10.0
56,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,14.0,15.0,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,15.0,15.0
57,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,1.0,1.0,5.0,8.0,15.0,15.0,16.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,3.0,2.0,2.0,1.0,1.0,5.0,4.0,14.0,15.0,15.0
58,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,14.0,13.0,14.0,father,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9.0,10.0,9.0
59,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,16.0,15.0,16.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,15.0,16.0,16.0
60,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4.0,2.0,3.0,4.0,0.0,17.0,16.0,16.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,10.0,11.0,11.0
61,GP,F,16,U,GT3,T,1,1,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0,16.0,father,4.0,1.0,0.0,yes,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,8.0,11.0
62,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,0.0,13.0,13.0,10.0,father,1.0,2.0,0.0,yes,no,no,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,4.0,8.0,10.0,9.0
63,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,0.0,14.0,13.0,13.0,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,2.0,10.0,9.0,9.0
64,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,13.0,12.0,12.0,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,10.0,10.0,10.0
65,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,16.0,15.0,16.0,mother,3.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,16.0,15.0,15.0
66,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1.0,4.0,0.0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,0.0,11.0,12.0,12.0,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,13.0,13.0,12.0
67,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1.0,4.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,0.0,10.0,9.0,10.0,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,7.0,7.0,6.0
68,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,0.0,11.0,10.0,11.0,mother,2.0,2.0,0.0,yes,yes,yes,no,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,9.0,8.0
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,6.0,15.0,15.0,15.0,father,2.0,4.0,0.0,no,yes,no,no,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,16.0
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,13.0,11.0,11.0,father,2.0,4.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,13.0,15.0,15.0
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,11.0,9.0,10.0,mother,1.0,4.0,0.0,no,no,no,no,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,10.0,10.0,10.0
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,13.0,11.0,11.0,mother,1.0,2.0,2.0,yes,yes,no,no,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,8.0,6.0,5.0
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2.0,2.0,2.0,5.0,0.0,13.0,13.0,14.0,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,2.0,2.0,5.0,2.0,12.0,12.0,14.0
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,4.0,11.0,11.0,11.0,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,11.0,12.0,11.0
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,0.0,11.0,11.0,11.0,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,6.0,9.0,9.0,10.0
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,0.0,12.0,11.0,11.0,mother,2.0,4.0,0.0,no,no,no,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,8.0,11.0,11.0,10.0
